timestamp,temperature,humidity,pressure,pioggia_3h,pioggia_presente
2026-02-19T17:23:01.780876,21.8,61.0,1005.7,0.0,ASSENTE
2026-02-19T17:25:40.521214,21.9,60.0,1005.7,0.0,ASSENTE
2026-02-19T17:25:42.525494,21.9,61.0,1005.7,0.0,ASSENTE
2026-02-19T17:25:44.527152,21.8,60.0,1005.7,0.0,ASSENTE
2026-02-19T17:25:46.529807,21.8,61.0,1005.7,0.0,ASSENTE
2026-02-19T17:25:48.532898,21.9,61.0,1005.7,0.0,ASSENTE
2026-02-19T17:25:50.534126,21.8,60.0,1005.7,0.0,ASSENTE
2026-02-19T17:25:52.535783,21.8,61.0,1005.7,0.0,ASSENTE
2026-02-19T17:25:54.557200,21.8,60.0,1005.7,0.0,ASSENTE
2026-02-19T17:25:56.569790,21.9,60.0,1005.7,0.0,ASSENTE
2026-02-19T17:25:58.604544,21.9,60.0,1005.7,0.0,ASSENTE
2026-02-19T17:26:00.638769,21.9,60.0,1005.7,0.0,ASSENTE
2026-02-19T17:26:02.666226,21.9,60.0,1005.7,0.0,ASSENTE
2026-02-19T17:26:04.694137,21.9,60.0,1005.7,0.0,ASSENTE
2026-02-19T17:26:06.721726,21.9,60.0,1005.7,0.0,ASSENTE
2026-02-19T17:26:08.743037,21.9,60.0,1005.7,0.0,ASSENTE
2026-02-19T17:26:10.774548,21.9,60.0,1005.7,0.0,ASSENTE
2026-02-19T17:26:12.790618,21.8,60.0,1005.7,0.0,ASSENTE
2026-02-19T17:26:14.831726,21.9,60.0,1005.7,0.0,ASSENTE
2026-02-19T17:26:16.847844,21.9,60.0,1005.7,0.0,ASSENTE
2026-02-19T17:26:18.880758,21.8,60.0,1005.7,0.0,ASSENTE
2026-02-19T17:26:20.912883,21.8,60.0,1005.7,0.0,ASSENTE
2026-02-19T17:26:22.940949,21.9,60.0,1005.7,0.0,ASSENTE
2026-02-19T17:26:24.961042,21.9,60.0,1005.7,0.0,ASSENTE
2026-02-19T17:26:26.993511,21.9,60.0,1005.7,0.0,ASSENTE
2026-02-19T17:26:29.011649,21.9,60.0,1005.7,0.0,ASSENTE
2026-02-19T17:26:31.042895,21.9,60.0,1005.7,0.0,ASSENTE
2026-02-19T17:26:33.064544,21.9,60.0,1005.7,0.0,ASSENTE
2026-02-19T17:26:35.091676,21.9,60.0,1005.7,0.0,ASSENTE
2026-02-19T17:26:37.126677,21.8,60.0,1005.7,0.0,ASSENTE
2026-02-19T17:26:39.159956,21.9,60.0,1005.7,0.0,ASSENTE
2026-02-19T17:26:41.391934,21.9,60.0,1005.7,0.0,ASSENTE
2026-02-19T17:26:43.395798,21.9,60.0,1005.7,0.0,ASSENTE
2026-02-19T17:26:45.397491,21.9,60.0,1005.7,0.0,ASSENTE
2026-02-19T17:26:47.400595,21.9,60.0,1005.7,0.0,ASSENTE
2026-02-19T17:26:49.401829,21.9,60.0,1005.7,0.0,ASSENTE
2026-02-19T17:26:51.403183,21.9,60.0,1005.7,0.0,ASSENTE
2026-02-19T17:26:53.405411,21.9,60.0,1005.7,0.0,ASSENTE
2026-02-19T17:26:55.407854,21.9,60.0,1005.7,0.0,ASSENTE
2026-02-19T17:26:57.410610,21.8,60.0,1005.7,0.0,ASSENTE
2026-02-19T17:26:59.426191,21.8,60.0,1005.7,0.0,ASSENTE
2026-02-19T17:27:01.457045,21.9,60.0,1005.7,0.0,ASSENTE
2026-02-19T17:27:03.475341,21.9,60.0,1005.7,0.0,ASSENTE
2026-02-19T17:27:05.509587,21.9,60.0,1005.7,0.0,ASSENTE
2026-02-19T17:27:07.541727,21.9,60.0,1005.7,0.0,ASSENTE
2026-02-19T17:27:09.570879,21.9,60.0,1005.7,0.0,ASSENTE
2026-02-19T17:27:11.598329,21.9,60.0,1005.7,0.0,ASSENTE
2026-02-19T17:27:13.624334,21.9,60.0,1005.7,0.0,ASSENTE
2026-02-19T17:27:15.656698,21.9,60.0,1005.7,0.0,ASSENTE
2026-02-19T17:27:17.683582,21.9,60.0,1005.7,0.0,ASSENTE
2026-02-19T17:27:19.712060,21.9,60.0,1005.7,0.0,ASSENTE
2026-02-19T17:27:21.726897,21.9,60.0,1005.7,0.0,ASSENTE
2026-02-19T17:27:23.762255,21.9,60.0,1005.7,0.0,ASSENTE
2026-02-19T17:27:25.793506,21.9,60.0,1005.7,0.0,ASSENTE
2026-02-19T17:27:27.821274,21.9,60.0,1005.7,0.0,ASSENTE
2026-02-19T17:27:29.848321,21.8,60.0,1005.7,0.0,ASSENTE
2026-02-19T17:27:31.875493,21.9,60.0,1005.7,0.0,ASSENTE
2026-02-19T17:27:33.903004,21.9,60.0,1005.7,0.0,ASSENTE
2026-02-19T17:27:35.930241,21.9,60.0,1005.7,0.0,ASSENTE
2026-02-19T17:27:37.957574,21.9,60.0,1005.7,0.0,ASSENTE
2026-02-19T17:27:39.985855,21.9,60.0,1005.7,0.0,ASSENTE
2026-02-19T17:27:42.173794,21.9,60.0,1005.7,0.0,ASSENTE
2026-02-19T17:27:44.180491,21.9,60.0,1005.7,0.0,ASSENTE
2026-02-19T17:27:46.182991,21.8,60.0,1005.7,0.0,ASSENTE
2026-02-19T17:27:48.185140,21.9,60.0,1005.7,0.0,ASSENTE
2026-02-19T17:27:50.186968,21.9,60.0,1005.7,0.0,ASSENTE
2026-02-19T17:27:52.188914,21.9,60.0,1005.7,0.0,ASSENTE
